2026-03-06 00:44:29 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:44:29 | WARNING  | aiogram.dispatcher   | Sleep for 3.829636 seconds and try again... (tryings = 6, bot id = 8536661835)
2026-03-06 00:44:33 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:44:33 | WARNING  | aiogram.dispatcher   | Sleep for 4.412769 seconds and try again... (tryings = 6, bot id = 8536661835)
2026-03-06 00:44:37 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:44:37 | WARNING  | aiogram.dispatcher   | Sleep for 4.880319 seconds and try again... (tryings = 7, bot id = 8536661835)
2026-03-06 00:44:43 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:44:43 | WARNING  | aiogram.dispatcher   | Sleep for 4.903641 seconds and try again... (tryings = 7, bot id = 8536661835)
2026-03-06 00:44:48 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:44:48 | WARNING  | aiogram.dispatcher   | Sleep for 4.987689 seconds and try again... (tryings = 8, bot id = 8536661835)
2026-03-06 00:44:53 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:44:53 | WARNING  | aiogram.dispatcher   | Sleep for 4.890988 seconds and try again... (tryings = 8, bot id = 8536661835)
2026-03-06 00:44:58 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:44:58 | WARNING  | aiogram.dispatcher   | Sleep for 4.950745 seconds and try again... (tryings = 9, bot id = 8536661835)
2026-03-06 00:45:03 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:45:03 | WARNING  | aiogram.dispatcher   | Sleep for 5.029237 seconds and try again... (tryings = 9, bot id = 8536661835)
2026-03-06 00:45:09 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:45:09 | WARNING  | aiogram.dispatcher   | Sleep for 4.950554 seconds and try again... (tryings = 10, bot id = 8536661835)
2026-03-06 00:45:14 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:45:14 | WARNING  | aiogram.dispatcher   | Sleep for 5.050340 seconds and try again... (tryings = 10, bot id = 8536661835)
2026-03-06 00:45:19 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:45:19 | WARNING  | aiogram.dispatcher   | Sleep for 4.936015 seconds and try again... (tryings = 11, bot id = 8536661835)
2026-03-06 00:45:24 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:45:24 | WARNING  | aiogram.dispatcher   | Sleep for 5.141217 seconds and try again... (tryings = 11, bot id = 8536661835)
2026-03-06 00:45:30 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:45:30 | WARNING  | aiogram.dispatcher   | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8536661835)
2026-03-06 00:45:34 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:45:34 | WARNING  | aiogram.dispatcher   | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8536661835)
2026-03-06 00:45:36 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:45:36 | WARNING  | aiogram.dispatcher   | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8536661835)
2026-03-06 00:45:40 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:45:40 | WARNING  | aiogram.dispatcher   | Sleep for 1.389007 seconds and try again... (tryings = 1, bot id = 8536661835)
2026-03-06 00:45:42 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:45:42 | WARNING  | aiogram.dispatcher   | Sleep for 1.354620 seconds and try again... (tryings = 1, bot id = 8536661835)
2026-03-06 00:45:46 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:45:46 | WARNING  | aiogram.dispatcher   | Sleep for 1.929575 seconds and try again... (tryings = 2, bot id = 8536661835)
2026-03-06 00:45:48 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:45:48 | WARNING  | aiogram.dispatcher   | Sleep for 1.767424 seconds and try again... (tryings = 2, bot id = 8536661835)
2026-03-06 00:45:54 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:45:54 | WARNING  | aiogram.dispatcher   | Sleep for 2.600682 seconds and try again... (tryings = 3, bot id = 8536661835)
2026-03-06 00:45:56 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:45:56 | WARNING  | aiogram.dispatcher   | Sleep for 2.375755 seconds and try again... (tryings = 3, bot id = 8536661835)
2026-03-06 00:46:02 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:46:02 | WARNING  | aiogram.dispatcher   | Sleep for 3.475920 seconds and try again... (tryings = 4, bot id = 8536661835)
2026-03-06 00:46:06 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:46:06 | WARNING  | aiogram.dispatcher   | Sleep for 3.069741 seconds and try again... (tryings = 4, bot id = 8536661835)
2026-03-06 00:46:09 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:46:09 | WARNING  | aiogram.dispatcher   | Sleep for 4.564409 seconds and try again... (tryings = 5, bot id = 8536661835)
2026-03-06 00:46:14 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:46:14 | WARNING  | aiogram.dispatcher   | Sleep for 3.958264 seconds and try again... (tryings = 5, bot id = 8536661835)
2026-03-06 00:46:18 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:46:18 | WARNING  | aiogram.dispatcher   | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8536661835)
2026-03-06 00:46:22 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:46:22 | WARNING  | aiogram.dispatcher   | Sleep for 4.857604 seconds and try again... (tryings = 6, bot id = 8536661835)
2026-03-06 00:46:28 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:46:28 | WARNING  | aiogram.dispatcher   | Sleep for 1.306434 seconds and try again... (tryings = 1, bot id = 8536661835)
2026-03-06 00:46:32 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:46:32 | WARNING  | aiogram.dispatcher   | Sleep for 5.090769 seconds and try again... (tryings = 7, bot id = 8536661835)
2026-03-06 00:46:38 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:46:38 | WARNING  | aiogram.dispatcher   | Sleep for 1.639534 seconds and try again... (tryings = 2, bot id = 8536661835)
2026-03-06 00:46:42 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:46:42 | WARNING  | aiogram.dispatcher   | Sleep for 5.002837 seconds and try again... (tryings = 8, bot id = 8536661835)
2026-03-06 00:46:48 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:46:48 | WARNING  | aiogram.dispatcher   | Sleep for 2.107148 seconds and try again... (tryings = 3, bot id = 8536661835)
2026-03-06 00:46:53 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:46:53 | WARNING  | aiogram.dispatcher   | Sleep for 5.107961 seconds and try again... (tryings = 9, bot id = 8536661835)
2026-03-06 00:46:59 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:46:59 | WARNING  | aiogram.dispatcher   | Sleep for 2.756492 seconds and try again... (tryings = 4, bot id = 8536661835)
2026-03-06 00:47:02 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:47:02 | WARNING  | aiogram.dispatcher   | Sleep for 5.102308 seconds and try again... (tryings = 10, bot id = 8536661835)
2026-03-06 00:47:07 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:47:07 | WARNING  | aiogram.dispatcher   | Sleep for 3.706515 seconds and try again... (tryings = 5, bot id = 8536661835)
2026-03-06 00:47:11 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:47:11 | WARNING  | aiogram.dispatcher   | Sleep for 5.114483 seconds and try again... (tryings = 11, bot id = 8536661835)
2026-03-06 00:47:16 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:47:16 | WARNING  | aiogram.dispatcher   | Sleep for 4.813908 seconds and try again... (tryings = 6, bot id = 8536661835)
2026-03-06 00:47:21 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:47:21 | WARNING  | aiogram.dispatcher   | Sleep for 5.054484 seconds and try again... (tryings = 12, bot id = 8536661835)
2026-03-06 00:47:27 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:47:27 | WARNING  | aiogram.dispatcher   | Sleep for 5.187790 seconds and try again... (tryings = 7, bot id = 8536661835)
2026-03-06 00:47:32 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:47:32 | WARNING  | aiogram.dispatcher   | Sleep for 5.139273 seconds and try again... (tryings = 13, bot id = 8536661835)
2026-03-06 00:47:38 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:47:38 | WARNING  | aiogram.dispatcher   | Sleep for 4.968519 seconds and try again... (tryings = 8, bot id = 8536661835)
2026-03-06 00:47:43 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:47:43 | WARNING  | aiogram.dispatcher   | Sleep for 4.905241 seconds and try again... (tryings = 14, bot id = 8536661835)
2026-03-06 00:47:45 | INFO     | bot.database         | [DB] Target group set: Target 2046196282 (2046196282)
2026-03-06 00:47:48 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:47:48 | WARNING  | aiogram.dispatcher   | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8536661835)
2026-03-06 00:47:52 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:47:52 | WARNING  | aiogram.dispatcher   | Sleep for 5.054526 seconds and try again... (tryings = 15, bot id = 8536661835)
2026-03-06 00:47:58 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:47:58 | WARNING  | aiogram.dispatcher   | Sleep for 1.347644 seconds and try again... (tryings = 1, bot id = 8536661835)
2026-03-06 00:48:02 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:48:02 | WARNING  | aiogram.dispatcher   | Sleep for 4.886195 seconds and try again... (tryings = 16, bot id = 8536661835)
2026-03-06 00:48:07 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:48:07 | WARNING  | aiogram.dispatcher   | Sleep for 1.645309 seconds and try again... (tryings = 2, bot id = 8536661835)
2026-03-06 00:48:12 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:48:12 | WARNING  | aiogram.dispatcher   | Sleep for 4.993183 seconds and try again... (tryings = 17, bot id = 8536661835)
2026-03-06 00:48:18 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:48:18 | WARNING  | aiogram.dispatcher   | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8536661835)
2026-03-06 00:48:22 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:48:22 | WARNING  | aiogram.dispatcher   | Sleep for 5.005276 seconds and try again... (tryings = 18, bot id = 8536661835)
2026-03-06 00:48:27 | ERROR    | aiogram.dispatcher   | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-03-06 00:48:27 | WARNING  | aiogram.dispatcher   | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8536661835)
